dem_no,dem_str,dem_kind,dem_judgement,dem_title,dem_note,dem_subject,dem_jomun
167503,"조심2018서4263","심판","기각","쟁점분배금이「법인세법」제18조의3 제1항에 따른 수입배당금 익금불산입 규정의 적용대상인지 여부"," 「법인세법」제18조의3 제1항에 따른 수입배당금의 익금불산입 규정은 해당 법인이 다른 내국법인에 직접 출자한 경우를 전제로 하여 규정하고 있는 점, 투자신탁 외의 신탁을 도관으로 보아 그 이익의 분배금의 원천이 배당인 경우 신탁에 따른 수익권자가 해당 배당금을 지급한 다른 내국법인에게 직접 출자하는 법률행위를 하였던 것으로 의제하기는 어려운 점,「법인세법」제5조 제1항 및 같은 법 제18조의3 제1항의 입법목적이 신탁의 이익에 대한 분배금까지 수입배당금 익금불산입 적용대상에 포함하려 한 것으로 보이지 아니하는 점 등에 비추어 쟁점분배금에 대하여 수입배당금 익금불산입 규정을 적용하여야 한다는 청구주장을 받아들이기는 어려움
"," 수입배당금, 분배금, 익금불산입, 신탁","법인세법 제5조 / 법인세법 제18조의3 / 법인세법 시행령제70조 / 법인세법 시행령제111조"
167502,"조심2018중4427","심판","경정","토양개량 및 복원사업 중인 쟁점농지가 일시적 휴경에 해당하는지 여부","쟁점농지의 휴경원인이 토양 개량 및 복원사업을 진행하기 위한 것임이 oooo공단이 생산한 관련 문서 등으로 구체적으로 확인되는 점, 토양 개량 및 복원공사 후 소유자들이 농경지로 경작에 이용할 것임이 구체적으로 확인되는 점,  벼농사를 주업으로 하는 피상속인으로 하여금 전문기술이 필요한 화훼농업이나 묘목업을 하도록 강요할 수 없는 점 등에 비추어  쟁점농지는 일시적 휴경지에 해당하여 영농상속공제대상 농지로 봄이 타당함"," 영농상속, 상속공제, 휴경농지","상속세 및 증여세법 제18조"
167501,"조심2017서5119","심판","기각","대표자 가지급금으로 계상된 쟁점사채 발행대금 중 일부 금액이 회수되지 아니하고 그 귀속이 불분명한 것으로 보아 대표자 상여처분하여 청구인에게 종합소득세를 과세한 처분의 당부","쟁점사채 발행대금이 OOO에게 귀속된 사실이 확인되지 않고, 오히려 그 중 일부가 청구인에게 지급된 것으로 확인되며, 다른 일부는 귀속이 불분명한 점, 쟁점사채 발행대금이 쟁점법인의 장부상 대표자 가지급금으로 계상되고 일부가 회수된 것으로 계상된 점, OOO이 쟁점법인의 실질적 지배자라는 청구구장을 뒷받침할 만한 객관적 증빙이 제시되지 아니한 점 등에 비추어 처분청이 쟁점상여처분액이 회수되지 아니한 것으로 보아 청구인에게 종합소득세를 과세한 처분은 잘못이 없음
"," 가지급금, 상여처분","법인세법 제67조"
167500,"조심2018광2063","심판","경정"," 쟁점신축오피스텔 관련 건설용역의 공급시기를 사용승인일로 보아 쟁점매입세액을 불공제한 처분의 당부"," 청구법인이 제시한 건축공사일보(작업일지)의 구체성 및 청구법인의 세무대리인과 거래상대방인 삼보건설 대표이사의 진술이 민간건설공사 표준도급계약서(변경) 등에 의해 확인되어 진정한 것으로 보이는 점, 청구법인에게 건설용역을 제공한 삼보건설이 쟁점세금계산서를 굳이 지연 발행하여야 할 하등의 이유가 없는 점 등에 비추어 2017.1.5. 비로소 쟁점오피스텔에 대한 건설용역이 완료되었다고 봄이 타당하므로 처분청이 쟁점세금계산서가 공급시기가 사실과 다른 것으로 보아 쟁점매입세액을 불공제하여 부가가치세를 과세한 이 건 처분은 잘못이 있음
"," 공급시기, 역무의 제공이 완료되는 때","부가가치세법 제16조 / 부가가치세법 시행령제29조"
167491,"조심2018부3841","심판","기각"," 청구인들을 쟁점사업장의 공동사업자로 보아 연대납세의무자로 지정하고 부가가치세 등을 납부통지한 처분의 당부"," 청구인 대표가 제출한 쟁점사업장의 매월 결산보고서, 장부, 메모 및 관련  소장이나 수사기록 등에 따르면 투자지분에 따른 배당금액과 배분방식, 동업사실 등과 관련한 내용이 구체적으로 나타나는 점 등에 비추어 공동사업자가 아니라는 청구인들의 주장을 받아들이기 어려움"," 공동사업자, 실사업자, 연대납세의무","국세기본법 제14조 / 국세기본법 제25조 / 국세기본법 제26조 / 소득세법 제43조"
167490,"조심2018서4230","심판","기각"," 쟁점직무발명보상금을 2017년 귀속 과세대상 근로소득으로 보아 청구인의 경정청구를 거부한 처분의 당부"," AA가 청구인에게 개정 소득세법 시행 후인 2017.5.17. 지급한 쟁점직무발명보상금은 종전 규정이 아닌 개정 소득세법 제20조 제1항 제5호 규정을 적용하여 2017년 귀속 과세대상 근로소득으로 보는 것이 타당한 것으로 판단됨"," 직무발명보상금, 근로소득, 비과세 기타소득, 종업원, 대학의 교직원","소득세법 제20조"
167489,"조심2018서4461","심판","각하","이 건 심판청구가 적법한지 여부","쟁점임야 비교대상토지의 인정여부와 관계없이 상속세는 과세미달로 결정되어 청구인에 대한 고지세액이 없는바, 이 건 상속세와 관련하여 권리나 이익을 침해받지 아니하여 불복의 대상이 되는 처분이 없으므로 이 건 심판청구는 부적법한 청구에 해당함"," 시가, 매매사례, 평가증","상속세 및 증여세법 제60조"
167488,"조심2018중1824","심판","기각"," 쟁점부동산에 대한 장기보유특별공제액 계산시 주택 보유기간의 공제율과 상가 보유기간의 공제율을 합산한 공제율을 적용하여야 한다는 청구주장의 당부 등"," 양도차익 계산시 상가로 사용한 기간을 고려하지 아니하고 양도시점에 쟁점부동산을 1세대 1주택으로 보아 과세대상 뿐만 아니라 비과세대상 양도차익을 계산하는 반면, 장기보유특별공제 산정시에는 상가로 사용한 기간을 고려하여 그 기간에 상응하는 공제율을 합산하는 것은 타당하지 아니한 점, 청구주장과 같이 용도별로 장기보유특별공제율을 합산하는 경우 장기보유특별공제율이 1세대 1주택 최대공제율인 80%를 초과하여 110%까지 산출될 수 있어 불합리한 점 등에 비추어 쟁점부동산의 용도별 보유기간에 따른 장기보유특별공제율을 합산하여야 한다는 청구인들의 주장을 그대로 받아들이기는 어려운 것으로 판단됨"," 장기보유특별공제, 필요경비, 가산세, 정당한사유","소득세법 제95조 / 소득세법 제97조 / 소득세법 시행령제160조 / 소득세법 제163조 / 국세기본법 제48조"
167487,"조심2018중4115","심판","재조사","청구인이 추가로 제시한 경비를 반영하여 기준경비율에 의하여 소득금액을 추계경정하여 달라는 청구주장의 당부","청구인은 이 건 심판청구에서 금융거래내역, 주요경비지출명세서 등을 제시하고 있고, 청구인의 수입금액 누락액이 확인된 청구인 명의 금융계좌의 거래내역에서 거래당사자와 거래금액 등이 일자별로 확인되며, 처분청이 이 건 처분 당시 주요경비(매입비용․외주가공비․임차료․종업원 인건비 등)를 감안하지 않고, 단순경비율에 따른 소득에 기획재정부령으로 정하는 배율을 곱한 금액을 소득금액으로 산정한 것으로 보이는 점 등에 비추어 처분청은 청구인이 제시한 금융증빙 등을 토대로 소득금액을 재조사하여 그 결과에 따라 과세표준 및 세액을 경정함이 타당한 것으로 판단됨","주요경비, 매입비용, 외주가공비, 임차료, 인건비","소득세법 시행령제143조"
167486,"조심2018광4069","심판","기각"," 쟁점주택이 사업용 재고자산인지 임대주택인지 여부"," 청구인은 주택신축판매업 사업자등록 후 폐업 시점까지 사업소득(주택신축판매업)에 대한 종합소득세를 무신고하여 쟁점주택이 재고자산으로 계상되어 있지 아니하였고, 청구인이 그 동안 쟁점주택을 판매하기 위해 노력하였다고 인정할만한 객관적 증빙을 제출하지 않은 점, 쟁점주택을 신축한 직후부터 20▣▣.▣.▣▣.까지 계속적․반복적으로 임대사업에 공한 점 등에 비추어 청구인이 쟁점주택을 보유․임대한 것은 주택신축판매업에 해당한다고 보기 어려우므로 처분청이 쟁점주택을 사업용 재고자산이 아닌 임대주택으로 보아 청구인에게 양도소득세를 과세한 처분은 달리 잘못이 없는 것으로 판단됨"," 1세대3주택, 재고자산, 임대주택","소득세법 제19조 / 소득세법 제89조"
167485,"조심2018서3996","심판","기각","쟁점아파트의 증여재산가액을 비교대상아파트②의 매매사례가액으로 평가하여 증여세를 부과한 처분의 당부","비교대상아파트②는 쟁점아파트의 증여일로부터 가장 가까운 날인 그 전날에 매매계약이 체결되었고, 그 면적․위치․용도 등이 동일 또는 유사하며, 쟁점아파트와 비교대상아파트②의 공동주택가격 차이가 쟁점아파트의  공동주택가격의 5% 이내로써 상증세법 시행규칙 제15조 제3항 제1호 다목에 따른 유사재산의 요건을 충족하는 점 등에 비추어 청구주장을 받아들이기 어려움"," 시가, 매매사례, 특수관계인","상속세 및 증여세법 제60조"
167484,"조심2018중0624","심판","재조사","2015사업연도의 귀속이 아닌 2016사업연도 귀속분 수입금액이라는 청구주장의 당부 등","구매계약서 일반계약조건상 계약상대자는 물품납품 또는 계약이행을 완료한 후 납품된 물품 또는 수행된 업무에 대한 대가 지급을 구매자에게 청구하고, 구매자는 계약상대자의 대가지급 청구를 받은 후 특별한 사유가 없는 한 소정의 기일 내에 그 대가를 지급하기로 되어 있고, 잔금은 지불 전 계약서에 명시된 보증기간 종료일까지의 하자보증증권을 제출하여야 한다고 되어 있고, 인수통보확인서 상 인수확인일이 2016.9월로 되어 있는 점에서 이 건 수입금액은 2016사업연도의 귀속분으로 보아 과세표준과 세액을 경정하여야 할 것으로 판단됨"," 매출누락, 검수조건부, 손익 귀속시기","법인세법 시행령제68조"
167483,"조심2017서2557","심판","기각","쟁점주식의 양도는 사기나 그 밖의 부정한 행위에 해당하지 않는다는 청구주장의 여부","청구인이 쟁점주식을 차명주주의 차명증권계좌를 이용하여 보관․관리하여 왔고, 이러한 방식으로 차명주식을 보유․양도함으로써 누진세율을 적용받는 배당소득세(종합소득세) 및 양도소득세의 실질 세부담을 상당부분 낮추어 과세회피 및 은닉효과가 현저한 것으로 보이는 점 등에 비추어 처분청이 쟁점주식의 양도가 사기나 그 밖의 기타 부정한 행위로 보아 청구인에게 양도소득세를 과세한 이 건 처분은 잘못이 없음","차명주식, 양도, 부정한, 행위","국세기본법 제26조의2"
167482,"조심2018서0739","심판","재조사","쟁점주식을 피상속인이 청구인들에게 명의신탁한 것으로 보아 증여세를 과세한 처분의 당부","피상속인과 청구인들의 모 ooo 사이에 진행된 이혼 및 재산분할 청구에서 피상속인은 본인의 주식비율을 xx%로 주장하는 등 서로 다른 소송에서 oooo에 대한 명의신탁비율을 서로 다르게 주장했고, 그에 대한 법원의 판단도 동일하지 않았던 것으로 확인되는 점 등에 비추어 볼 때, 쟁점주식의 실제소유자가 피상속인이라고 단정할 수는 없는 것으로 판단되므로 청구인들이 쟁점주식 인수대금으로 지급하였다고 주장하는 xxx백만원의 자금원천을 재조사하여 쟁점주식의 실제소유자를 확인하고 그 결과에 따라 과세표준 및 세액을 경정함이 타당하다고 판단됨"," 명의신탁, 실질주주, 인수대금","상속세 및 증여세법 제45조의2"
167481,"조심2017중3710","심판","기각","임대수입 누락액을 익금산입하면서 이에 상응하는 이자비용을 손금으로 인정하지 않는 것은 부당하다는 청구주장의 당부 등","BB는 부동산을 임차하면서 실소유자인 청구법인과 임대차계약을 하지 않고 특수관계법인인 AA기업과 ooo억원의 대출이자와 임대료를 상계하는 조건으로 임대차계약을 체결한 것으로 나타나는 점, 여신거래약정서 및 대출원리금 납입증명서를 보면 AA기업이 BB로부터 대출금을 차입하여 이에 따른 연간이자를 부담한 점 등에 비추어 동 대출금의 실제 차입자는 AA기업으로 보이고 청구법인과 AA기업 간의 별도의 대출약정이나 이자지급내역이 없는 점 등에 비추어 청구주장은 받아들이기 어려운 것으로 판단됨"," 임대수입, 이자비용, 대출이자, 임대료 상계","법인세법 제67조"
167480,"조심2017서4955","심판","기각","청구법인이 수수한 이 건 매출․매입세금계산서가 사실과 다른 세금계산서인지 여부","심문조서 등에 따르면 청구법인 대표이사는 ◎◎섬유로부터의 수취한 매입세금계산서가 위장매입에 따른 것이라 이미 인정하였고, 선의의 거래당사자로서의 주의의무를 제대로 기울였다고도 보기 어려운 점, 물품공급계약서 및 매출세금계산서 발급일자로 보아 청구법인이 수취한 세금계산서는 공급시기 이전에 발급된 사실과 다른 세금계산서인 점, 이 건 거래 이전 단계의 거래내용이 모두 가공거래로 판명되었고, 청구법인은 이 건 매출처 등에 공급하여야 할 물품에 대한 제조․매입내역이 존재하지 않는 점 등에 비추어 관련한 매입․매출세금계산서를 사실과 다른 세금계산서로 보아 한 처분은 잘못이 없음","가공거래, 매입, 매출, 사실과, 다른, 세금계산서","부가가치세법 제32조 / 부가가치세법 제34조 / 부가가치세법 제39조"
167479,"조심2018중3552","심판","재조사","쟁점퇴직금의 근무기간을 종전 중간정산일 이후부터 기산하는 것으로 하여 퇴직급여한도액을 산정하고 그 초과액은 대표이사에 대한 상여로 소득처분하여 청구법인에게 근로소득세를 과세한 처분의 당부","청구법인은 임원퇴직금지급규정이 20xx.xx.xx.부터 최초 시행되었다고 주장하고 있어서 종전퇴직금이 사전에 정해진 지급규정에 따라 적법하게 중간정산 되었다고 보기 어려운 점, 임원퇴직금 중간정산이 인정되지 않는다면 종전퇴직금은 사실상 대표자에 대한 가지급금에 해당하는 점, 당시 신고된 전 대표이사의 평균급여액이 현저하게 낮아 종전퇴직금이 회계상 오류에 불과하다는 청구주장이 신빙성 있게 보이는 점 등에 비추어 청구법인이 실제로 연봉제 전환을 사유로 종전퇴직금을 지급하였는지 여부를 재조사하여 과세표준 및 세액을 경정함이 타당함"," 연봉제, 중간정산 퇴직금","법인세법 시행령제44조"
167478,"조심2018중0326","심판","기각","쟁점배당금의 수익적 소유자를 모법인으로 보아 한․미조세조약에 따른 제한세율(10%)를 적용하여 법인세(원천세)를 과세한 처분의 당부","AA는 BB의 지분을 100% 보유하고 있고, BB의 재무상태표를 보면 자산으 대부분은 채권, 투자자산으로 구성되어 있으며 종업원이 없어 물적시설과 인적시설이 없는 법인으로 나타나는 점, BB의 이사회구성내역을 보면 과반수 이상이 AA의 임직원으로 되어 있는 점, 쟁점주식의 소유권 변동에도 불구하고 AA가 계속하여 청구법인에게 실질적 주주권을 행사하는 것으로 보이는 점 등에 비추어 이 건 처분은 달리 잘못이 없는 것으로 판단됨"," 수익적 소유자, 제한세율, ","국제조세조정에관한법률 제2조의2"
167477,"조심2018서1514","심판","취소"," 이 건 과세처분이 신의성실원칙에 위배되는지 여부 등"," ▣▣▣▣▣▣ 및 ◎◎◎◎의 공적인 견해표명에 대해 청구법인으로서는 그와 같은 내용이 정당하다고 신뢰할 수밖에 없었을 것이며, 이에 따라 청구법인은 호텔 리모델링을 한 후에도 재산세 감면을 신청하여 재산세 및 종합부동산세 감면을 받아 달리 청구법인에게 귀책사유가 있었던 것으로 보기 어려우므로 이 건 과세처분은 신뢰보호원칙에 위배되어 위법한 처분에 해당하는 것으로 판단됨"," 재산세, 감면, 리모델링, 신뢰보호원칙","국세기본법 제15조 / 종합부동산세법 제6조 / 종합부동산세법 제13조 / 종합부동산세법 제17조 / 종합부동산세법 제21조 / 종합부동산세법 시행령제9조 / 「지방세특례제한법」제54조"
167476,"조심2018중1921","심판","기각"," 쟁점토지 현물출자계약이 합의해제되었으므로 양도소득세 부과처분은 취소되어야 한다는 청구주장의 당부 등"," 청구인은 20▣▣.▣▣.▣▣.자 현물출자계약 중 쟁점토지에 대한 현물출자 부분을 20◎◎.◎.◎.에 이르러서 해제 및 원상복구할 수 없고, 다만 쟁점법인으로부터 탈퇴하거나, 쟁점법인의 해산청구를 한 후 20◎◎.◎.◎.을 기준으로 잔여재산분배청구를 할 수 있을 뿐인 점, 계약은 전부해제가 원칙이고, 일부해제는 일부해제로 목적 달성이 가능한 경우 예외적으로 허용되는 것인바, 쟁점토지에 대한 출자계약의 일부 해제를 인정할 경우 쟁점법인에 남은 자산을 볼 때 조합원 총 □인이 집단재배 및 공동작업 등의 목적 사업을 영위하는 것이 불가능한 것으로 판단되는 점 등에 비추어 청구주장을 받아들이기 어려운 것으로 판단됨"," 현물출자, 합의해제, 영농조합법인","조세특례제한법 제66조 / 조세특례제한법 시행령제63조"
167475,"조심2018구4556","심판","기각"," 양도당시 쟁점토지가 농지인지 여부"," 쟁점토지는 양도일 전인 20▣▣.▣.▣▣.까지 건축자재 야적장으로 사용되었다가 20▣▣.▣.▣▣. 관할 지방자치단체장으로부터 불법농지전용 원상회복 명령을 받고 20◎◎.◎.◎◎. 원상회복명령통지를 받은 후 20◇◇.◇.◇◇. 소유권을 이전한 점에서 원상회복이 되었더라도 양도당시 사실상 농지로 보기는 어렵고, 매수인은 쟁점토지에 20●●.●●.●●. 건축허가를 받아 20◆◆.◆.◆◆. 사용승인을 받아 커피숍을 운영하는 점 등에 비추어 청구주장을 받아들이기는 어렵다고 판단됨"," 8년자경, 농지","조세특례제한법 제69조 / 조세특례제한법 시행령제66조 / 조세특례제한법 시행규칙제27조"
167474,"조심2018부3993","심판","각하","이 건 심판청구가 적법한 청구인지 여부","개인에 대한 소득금액변동통지는 이로 인하여 구체적인 납세의무를 확정시키는 별도의 관련 규정 등이 없고, 단지 소득세 등의 부과처분에 앞서 당해 개인의 소득금액이 변동되었음을 사전에 통보하는 통지행위에 불과하므로 이 건 심판청구는 심리일 현재 심판청구의 대상의 되는 처분이 존재하지 아니하는 부적법한 청구에 해당함"," 소득금액변동통지, 불복대상","국세기본법 제55조"
167473,"조심2017서4726","심판","재조사","쟁점세금계산서가 가공거래에 따른 것인지 여부 등"," 조사결과 자료상 업체로 확인된 점 등에 비추어 처분청이 상기 매입처(AA, BB, CC)로부터 수령한 쟁점세금계산서와 관련한 매입을 가공거래로 보아 관련 매입세액을 매출세액에서 불공제하여 부가가치세 및 종합소득세를 과세한 처분은 달리 잘못이 없는 것으로 판단되나, DD과 EE는 자료상 거래형태나 특징을 보이지 않은 점 등에 비추어 조사청이 동 거래처들로부터의 세금계산서 수취내역과 예금계좌 거래내역 등을 재조사하여 확인하고 그 결과에 따라 과세표준 및 세액을 경정하여야 할 것으로 판단됨 ","조사기간 확대, 부정한 행위, 확인서, 가공거래, 부외경비, 가공 인건비, 복리후생비, 조사종결보고서","소득세법 제27조"
167472,"조심2018서4484","심판","기각","이 건 소득금액변동통지에 대하여 5년의 국세부과제척기간을 적용하여야 한다는 청구주장의 당부","이 건 소득처분으로 인한 대표이사에 대한 2008․2009년 귀속 종합소득세에 관하여는 쟁점규정이 시행될 2012.1.1. 당시에는 아직 5년의 부과제척기간이 도과하지 않았으므로, 쟁점규정은 부진정 소급입법에 해당하고 이는 원칙적으로 허용되므로 이 건 소득처분으로 인한 대표이사의 2008․2009년 귀속 종합소득세에 대한 부과제척기간은 쟁점규정에 의하여 10년을 적용하여야 할 것이므로 청구주장을 받아들이기 어려움","부정행위 소득처분, 국세부과제척기간, 10년, 소득금액변동통지","국세기본법 제26조의2"
167471,"조심2018서4447","심판","기각","지정지역 내에 있는 1세대 3주택 이상에 해당하는 쟁점주택의 양도에 대하여 중과세율이 아닌 일반세율을 적용하여야 한다는 청구주장의 당부","2009.3.16.부터 2012.12.31.까지 취득한 주택을 양도시기와 관계없이 2년 이상 보유한 경우 1세대 3주택자에 해당하여도 기본세율을 적용하도록 개정된 쟁점부칙 제14조는 2012.12.31.까지로 일몰되었고, 2014.1.1. 법률 제12169호로 개정된 「소득세법」 제104조 제4항 제1호에서 지정지역에 있는 부동산으로서 1세대 3주택 이상에 해당하는 주택을 양도하는 경우는 기본세율에 100분의 10을 더한 세율을 적용한다고 명시하고 있는바, 청구인은 1세대 3주택 이상자로서 기획재정부 제2017-114호로 공고된 지정지역 내에 소재한 쟁점주택을 양도한 사실이 확인되므로 처분청이 쟁점주택의 양도가 일반세율 적용대상에 해당하지 아니하는 것으로 보아 청구인의 경정청구를 거부한 이 건 처분은 잘못이 없음","투기, 지정, 지역, 다주택, 중과, 예외","소득세법 제104조"
